id,name,status,net,window_start,window_end,is_crewed,rocket_name,rocket_full_name,rocket_manufacturer,provider,mission_type,orbit,pad_name,location_name,location_country
bc175a72-2476-41b1-a998-694a3bb75ff8,Thor DM-21 Agena-B | Discoverer 21 (MIDAS RM-2),Launch Successful,1961-02-18T22:57:58Z,1961-02-18T22:57:58Z,1961-02-18T22:57:58Z,,Thor DM-21 Agena-B,Thor DM-21 Agena-B,United States Air Force,United States Air Force,,,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",
0d523e56-5cff-48a2-8ee6-79f103164c10,Atlas LV-3B | Mercury-Atlas 2,Launch Successful,1961-02-21T14:10:00Z,1961-02-21T14:10:00Z,1961-02-21T14:10:00Z,,Atlas LV-3B,Atlas LV-3B,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Test Flight,Suborbital,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",
c90b2db4-d194-4e68-9a5b-df53234e7a1b,Thor DM-21 Ablestar | Transit 3B & LOFTI-1,Launch was a Partial Failure,1961-02-22T03:45:00Z,1961-02-22T03:45:00Z,1961-02-22T03:45:00Z,,Thor DM-21 Ablestar,Thor DM-21 Ablestar,United States Air Force,United States Air Force,,,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",
9108d8aa-7a81-4cc3-95fd-0ae43e8673cf,Juno II | S-45,Launch Failure,1961-02-25T00:13:16Z,1961-02-25T00:13:16Z,1961-02-25T00:13:16Z,,Juno II,Juno II,Army Ballistic Missile Agency,Army Ballistic Missile Agency,,,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",
7e00f7c3-7648-450a-a69b-6bc94e317d04,Vostok-K | Sputnik 9,Launch Successful,1961-03-09T06:29:00Z,1961-03-09T06:29:00Z,1961-03-09T06:29:00Z,,Vostok,Vostok-K,Soviet Space Program,Soviet Space Program,,,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",
73c17f58-0aad-4a3a-9660-9253525860ec,Little Joe | LJ-5A,Launch was a Partial Failure,1961-03-18T16:49:00Z,1961-03-18T16:49:00Z,1961-03-18T16:49:00Z,,Little Joe,Little Joe,North American Aviation,National Aeronautics and Space Administration,Test Flight,Suborbital,Launch Area 1,"Wallops Flight Facility, Virginia, USA",
a144cbcb-0622-420a-8c52-b0af849873c7,Redstone MRLV | Mercury-Redstone BD,Launch Successful,1961-03-24T17:30:00Z,1961-03-24T17:30:00Z,1961-03-24T17:30:00Z,,Redstone,Redstone MRLV,Chrysler,National Aeronautics and Space Administration,Test Flight,Suborbital,Launch Complex 5,"Cape Canaveral SFS, FL, USA",
cf87eb87-1235-4c25-99d7-2896cc8e1dbf,Vostok-K | Sputnik 10,Launch Successful,1961-03-25T05:54:00Z,1961-03-25T05:54:00Z,1961-03-25T05:54:00Z,,Vostok,Vostok-K,Soviet Space Program,Soviet Space Program,,,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",
a2b07d66-8851-4880-8eee-95248c6e79f5,Delta DM-19 | Explorer 10,Launch Successful,1961-03-25T15:17:04Z,1961-03-25T15:17:04Z,1961-03-25T15:17:04Z,,Delta DM-19,Thor-Delta,United States Air Force,United States Air Force,,,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",
8f46f0c6-b0b8-4440-bd54-d2be03511c78,Thor DM-21 Agena-B | Discoverer 22,Launch Failure,1961-03-30T20:34:43Z,1961-03-30T20:34:43Z,1961-03-30T20:34:43Z,,Thor DM-21 Agena-B,Thor DM-21 Agena-B,United States Air Force,United States Air Force,,,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",
